SG3_All,Both_Single,Both_Compounding,Compact_Library,Full_All,SG1_All
3_C_C,1_C_C,1_C_C,1_C_C,1_C_C,1_C_C
3_W_MM1,1_W_MM1,1_W_MM1,1_B_MM4,1_W_MM1,1_W_MM1
3_B_MM2,1_W_MM2,1_B_MM2,1_B_MM5,1_B_MM2,1_B_MM2
3_B_MM3,1_W_MM3,1_B_MM3,1_B_MM6,1_B_MM3,1_B_MM3
3_B_MM4,1_W_MM4,1_B_MM4,1_B_MM7,1_B_MM4,1_B_MM4
3_B_MM5,1_W_MM5,1_B_MM5,1_B_MM8,1_B_MM5,1_B_MM5
3_B_MM6,1_W_MM6,1_B_MM6,1_B_MM9,1_B_MM6,1_B_MM6
3_B_MM7,1_W_MM7,1_B_MM7,1_B_MM10,1_B_MM7,1_B_MM7
3_B_MM8,1_W_MM8,1_B_MM8,3_C_C,1_B_MM8,1_B_MM8
3_B_MM9,1_W_MM9,1_B_MM9,3_B_MM4,1_B_MM9,1_B_MM9
3_B_MM10,1_W_MM10,1_B_MM10,3_B_MM5,1_B_MM10,1_B_MM10
3_B_MM11,1_W_MM11,1_B_MM11,3_B_MM6,1_B_MM11,1_B_MM11
3_B_MM12,1_W_MM13,1_B_MM12,3_B_MM7,1_B_MM12,1_B_MM12
3_B_MM13,1_W_MM16,1_B_MM13,3_B_MM8,1_B_MM13,1_B_MM13
3_B_MM14,1_W_MM19,1_B_MM14,3_B_MM9,1_B_MM14,1_B_MM14
3_W_MM2,1_W_MM20,3_C_C,3_B_MM10,1_W_MM2,1_W_MM2
3_W_MM3,3_C_C,3_W_MM1,,1_W_MM3,1_W_MM3
3_W_MM4,3_W_MM1,3_B_MM2,,1_W_MM4,1_W_MM4
3_W_MM5,3_W_MM2,3_B_MM3,,1_W_MM5,1_W_MM5
3_W_MM6,3_W_MM3,3_B_MM4,,1_W_MM6,1_W_MM6
3_W_MM7,3_W_MM4,3_B_MM5,,1_W_MM7,1_W_MM7
3_W_MM8,3_W_MM5,3_B_MM6,,1_W_MM8,1_W_MM8
3_W_MM9,3_W_MM6,3_B_MM7,,1_W_MM9,1_W_MM9
3_W_MM10,3_W_MM7,3_B_MM8,,1_W_MM10,1_W_MM10
3_W_MM11,3_W_MM8,3_B_MM9,,1_W_MM11,1_W_MM11
3_W_MM13,3_W_MM9,3_B_MM10,,1_W_MM13,1_W_MM13
3_W_MM16,3_W_MM10,3_B_MM11,,1_W_MM16,1_W_MM16
3_W_MM19,3_W_MM11,3_B_MM12,,1_W_MM19,1_W_MM19
3_W_MM20,3_W_MM13,3_B_MM13,,1_W_MM20,1_W_MM20
3_D_MM2-8,3_W_MM16,3_B_MM14,,1_D_MM2-8,1_D_MM2-8
3_D_MM3-10,3_W_MM19,,,1_D_MM3-10,1_D_MM3-10
3_D_MM4-6,3_W_MM20,,,1_D_MM4-6,1_D_MM4-6
3_D_MM7-9,,,,1_D_MM7-9,1_D_MM7-9
3_D_MM9-19,,,,1_D_MM9-19,1_D_MM9-19
,,,,2_C_C,
,,,,3_C_C,
,,,,3_W_MM1,
,,,,3_B_MM2,
,,,,3_B_MM3,
,,,,3_B_MM4,
,,,,3_B_MM5,
,,,,3_B_MM6,
,,,,3_B_MM7,
,,,,3_B_MM8,
,,,,3_B_MM9,
,,,,3_B_MM10,
,,,,3_B_MM11,
,,,,3_B_MM12,
,,,,3_B_MM13,
,,,,3_B_MM14,
,,,,3_W_MM2,
,,,,3_W_MM3,
,,,,3_W_MM4,
,,,,3_W_MM5,
,,,,3_W_MM6,
,,,,3_W_MM7,
,,,,3_W_MM8,
,,,,3_W_MM9,
,,,,3_W_MM10,
,,,,3_W_MM11,
,,,,3_W_MM13,
,,,,3_W_MM16,
,,,,3_W_MM19,
,,,,3_W_MM20,
,,,,3_D_MM2-8,
,,,,3_D_MM3-10,
,,,,3_D_MM4-6,
,,,,3_D_MM7-9,
,,,,3_D_MM9-19,
